School Name,School Code,School ID
Institute of Paper Science and Technology,U2Nob29sLTQ0OQ==,449
Institute of Transpersonal Psychology,U2Nob29sLTQ1MA==,450
Iona University,U2Nob29sLTQ1MQ==,451
Iowa State University,U2Nob29sLTQ1Mg==,452
Ithaca College,U2Nob29sLTQ1Mw==,453
Jackson State University,U2Nob29sLTQ1NA==,454
Jacksonville University,U2Nob29sLTQ1Ng==,456
James Madison University,U2Nob29sLTQ1Nw==,457
University of Jamestown,U2Nob29sLTQ1OA==,458
Jewish Theological Seminary- The,U2Nob29sLTQ2MA==,460
Kansas Wesleyan University,U2Nob29sLTQ3Nw==,477
Warren National University,U2Nob29sLTQ4MA==,480
Kent State University,U2Nob29sLTQ4Mg==,482
Kentucky Christian University,U2Nob29sLTQ4Mw==,483
Kentucky State University,U2Nob29sLTQ4NA==,484
Kentucky Wesleyan College,U2Nob29sLTQ4NQ==,485
Kenyon College,U2Nob29sLTQ4Ng==,486
King University,U2Nob29sLTQ4Nw==,487
Knox College,U2Nob29sLTQ4OQ==,489
La Salle University,U2Nob29sLTQ5Mg==,492
La Sierra University,U2Nob29sLTQ5Mw==,493
Lafayette College,U2Nob29sLTQ5NA==,494
LaGrange College,U2Nob29sLTQ5NQ==,495
Lake Forest College,U2Nob29sLTQ5Ng==,496
Lake Superior State University,U2Nob29sLTQ5Nw==,497
Lakeland University,U2Nob29sLTQ5OA==,498
Langston University,U2Nob29sLTUwMQ==,501
Lassen Community College,U2Nob29sLTUwNA==,504
Lawrence University,U2Nob29sLTUwNQ==,505
Le Moyne College,U2Nob29sLTUwNg==,506
Lee University,U2Nob29sLTUwOA==,508
LeMoyne-Owen College,U2Nob29sLTUxMA==,510
Lenoir-Rhyne University,U2Nob29sLTUxMQ==,511
Lesley University,U2Nob29sLTUxMg==,512
LeTourneau University,U2Nob29sLTUxMw==,513
Lewis &amp; Clark College,U2Nob29sLTUxNA==,514
Lewis-Clark State College,U2Nob29sLTUxNg==,516
Liberty University,U2Nob29sLTUxNw==,517
Life University,U2Nob29sLTUxOA==,518
Limestone College,U2Nob29sLTUxOQ==,519
Lincoln Memorial University,U2Nob29sLTUyMA==,520
Lindenwood University,U2Nob29sLTUyMw==,523
Linfield University,U2Nob29sLTUyNA==,524
Long Island University - Post,U2Nob29sLTUyOA==,528
Longwood University,U2Nob29sLTUzMA==,530
Loras College,U2Nob29sLTUzMQ==,531
Louisiana College,U2Nob29sLTUzMg==,532
Louisiana State University at Eunice,U2Nob29sLTUzMw==,533
Louisiana State University of Alexandria,U2Nob29sLTUzNQ==,535
Louisiana Tech University,U2Nob29sLTUzNg==,536
Loyola University Maryland,U2Nob29sLTUzNw==,537
Loyola Marymount University,U2Nob29sLTUzOA==,538
Loyola University New Orleans,U2Nob29sLTUzOQ==,539
Loyola University Chicago,U2Nob29sLTU0MA==,540
Lubbock Christian University,U2Nob29sLTU0MQ==,541
Luther Seminary,U2Nob29sLTU0Mw==,543
Trinity Lutheran College,U2Nob29sLTU0NA==,544
Lycoming College,U2Nob29sLTU0NQ==,545
University of Lynchburg,U2Nob29sLTU0Ng==,546
Lyndon State College,U2Nob29sLTU0Nw==,547
Lynn University,U2Nob29sLTU0OA==,548
Lyon College,U2Nob29sLTU0OQ==,549
Macalester College,U2Nob29sLTU1MA==,550
MacMurray College,U2Nob29sLTU1MQ==,551
Madonna University,U2Nob29sLTU1Mg==,552
Maharishi International University (was Maharishi University of Management),U2Nob29sLTU1Mw==,553
Maine Maritime Academy,U2Nob29sLTU1NA==,554
Manchester University,U2Nob29sLTU1Ng==,556
Manhattan College,U2Nob29sLTU1Nw==,557
Manhattanville College,U2Nob29sLTU1OA==,558
"Minnesota State University, Mankato",U2Nob29sLTU1OQ==,559
Mannes College of Music,U2Nob29sLTU2MA==,560
Mansfield University,U2Nob29sLTU2MQ==,561
Marist College,U2Nob29sLTU2Mw==,563
Marlboro College,U2Nob29sLTU2NA==,564
Marquette University,U2Nob29sLTU2NQ==,565
Mars Hill University,U2Nob29sLTU2Ng==,566
Marshall University,U2Nob29sLTU2Nw==,567
University of Mary Washington,U2Nob29sLTU2OA==,568
Marycrest International University,U2Nob29sLTU2OQ==,569
Maryland Institute  College of Art,U2Nob29sLTU3MA==,570
Marylhurst University,U2Nob29sLTU3MQ==,571
Marymount College - Tarrytown,U2Nob29sLTU3Mg==,572
Marymount Manhattan College,U2Nob29sLTU3Mw==,573
Marymount University,U2Nob29sLTU3NA==,574
Maryville College,U2Nob29sLTU3NQ==,575
Maryville University,U2Nob29sLTU3Ng==,576
Marywood University,U2Nob29sLTU3Nw==,577
Massachusetts College of Art and Design,U2Nob29sLTU3OA==,578
Massachusetts College of Pharmacy &amp; Health Science,U2Nob29sLTU3OQ==,579
Massachusetts Institute of Technology,U2Nob29sLTU4MA==,580
Massachusetts Maritime Academy,U2Nob29sLTU4MQ==,581
The Master&#x27;s University,U2Nob29sLTU4Mg==,582
Master&#x27;s Seminary- The,U2Nob29sLTU4Mw==,583
Mayville State University,U2Nob29sLTU4NA==,584
McKendree University,U2Nob29sLTU4NQ==,585
McMurry University,U2Nob29sLTU4Ng==,586
McNeese State University,U2Nob29sLTU4Nw==,587
McPherson College,U2Nob29sLTU4OA==,588
Memphis College of Art,U2Nob29sLTU4OQ==,589
Menlo College,U2Nob29sLTU5MA==,590
Mercyhurst University,U2Nob29sLTU5Mw==,593
Meredith College,U2Nob29sLTU5NA==,594
Colorado Mesa University,U2Nob29sLTU5NQ==,595
Messiah University,U2Nob29sLTU5Ng==,596
Methodist University,U2Nob29sLTU5Nw==,597
Metropolitan State University of Denver,U2Nob29sLTU5OA==,598
Miami University,U2Nob29sLTU5OQ==,599
Michigan Christian College,U2Nob29sLTYwMA==,600
MidAmerica Nazarene University,U2Nob29sLTYwMw==,603
Middle Tennessee State University,U2Nob29sLTYwNA==,604
Middlebury College,U2Nob29sLTYwNQ==,605
Midwestern State University,U2Nob29sLTYwNw==,607
Millersville University,U2Nob29sLTYwOA==,608
Milligan University,U2Nob29sLTYwOQ==,609
Millikin University,U2Nob29sLTYxMA==,610
Mills College,U2Nob29sLTYxMQ==,611
University of Wisconsin,U2Nob29sLTYxMw==,613
Minneapolis College of Art and Design,U2Nob29sLTYxNA==,614
Minot State University,U2Nob29sLTYxNQ==,615
Mississippi College,U2Nob29sLTYxNg==,616
Mississippi State University,U2Nob29sLTYxNw==,617
Mississippi University for Women,U2Nob29sLTYxOA==,618
Mississippi Valley State University,U2Nob29sLTYxOQ==,619
Missouri Baptist University,U2Nob29sLTYyMA==,620
Missouri Southern State University,U2Nob29sLTYyMQ==,621
Missouri Western State University,U2Nob29sLTYyMg==,622
Molloy University,U2Nob29sLTYyMw==,623
Monmouth College,U2Nob29sLTYyNA==,624
Monmouth University,U2Nob29sLTYyNQ==,625
Montana Tech,U2Nob29sLTYyOQ==,629
Montclair State University,U2Nob29sLTYzMA==,630
Middlebury Institute of International Studies at Monterey,U2Nob29sLTYzMQ==,631
Montreat College,U2Nob29sLTYzMg==,632
Moravian University,U2Nob29sLTYzNQ==,635
Morehead State University,U2Nob29sLTYzNg==,636
Morehouse College,U2Nob29sLTYzNw==,637
Morgan State University,U2Nob29sLTYzOA==,638
Morningside University,U2Nob29sLTYzOQ==,639
Morris College,U2Nob29sLTY0MA==,640
Mount Holyoke College,U2Nob29sLTY0MQ==,641
University of Massachusetts Amherst - Mount Ida Campus,U2Nob29sLTY0Mg==,642
Mount Marty University,U2Nob29sLTY0Mw==,643
Mount Mercy University,U2Nob29sLTY0NA==,644
University of Mount Olive,U2Nob29sLTY0NQ==,645
Mount Saint Mary College,U2Nob29sLTY0Nw==,647
Mount St. Mary&#x27;s University,U2Nob29sLTY0OA==,648
University of Mount Union,U2Nob29sLTY1MA==,650
Mount Vernon Nazarene University,U2Nob29sLTY1MQ==,651
Muhlenberg College,U2Nob29sLTY1Mg==,652
Murray State University,U2Nob29sLTY1Mw==,653
Muskingum University,U2Nob29sLTY1NA==,654
National Defense University,U2Nob29sLTY1NQ==,655
National Hispanic University,U2Nob29sLTY1Ng==,656
Walden University: NTU School of Engineering,U2Nob29sLTY1Nw==,657
Naval Postgraduate School,U2Nob29sLTY2MA==,660
